"folio","agu_bloq","ag_super","vo_super","vendsupr","ve_sup_e","ag_subte","vo_subte","vendsubt","ve_sub_e"
"11006","2","0","NA","0","","0","NA","0",""
"11007","2","0","NA","0","","0","NA","0",""
"11008","2","0","NA","0","","0","NA","0",""
"11009","2","0","NA","0","","0","NA","0",""
"11010","2","0","NA","0","","0","NA","0",""
"11011","2","0","NA","0","","0","NA","0",""
"11012","2","0","NA","0","","0","NA","0",""
"11013","2","0","NA","0","","0","NA","0",""
"11014","2","0","NA","0","","0","NA","0",""
"11015","2","0","NA","0","","0","NA","0",""
"11016","2","0","NA","0","","0","NA","0",""
"11017","2","0","NA","0","","0","NA","0",""
"11018","2","0","NA","0","","0","NA","0",""
"11019","2","0","NA","0","","0","NA","0",""
"11020","2","0","NA","0","","0","NA","0",""
"11021","2","0","NA","0","","0","NA","0",""
"11022","2","0","NA","0","","0","NA","0",""
"11023","2","0","NA","0","","0","NA","0",""
"11024","2","0","NA","0","","0","NA","0",""
"11025","1","2","NA","0","","1","870582","2",""
"11026","2","0","NA","0","","0","NA","0",""
"11027","2","0","NA","0","","0","NA","0",""
"11028","2","0","NA","0","","0","NA","0",""
"11029","2","0","NA","0","","0","NA","0",""
"11030","2","0","NA","0","","0","NA","0",""
"11031","1","2","NA","0","","1","27470","2",""
"11032","2","0","NA","0","","0","NA","0",""
"11033","2","0","NA","0","","0","NA","0",""
"11034","2","0","NA","0","","0","NA","0",""
"11035","2","0","NA","0","","0","NA","0",""
"11036","2","0","NA","0","","0","NA","0",""
"11037","2","0","NA","0","","0","NA","0",""
"11038","2","0","NA","0","","0","NA","0",""
"11039","2","0","NA","0","","0","NA","0",""
"11040","2","0","NA","0","","0","NA","0",""
"11041","2","0","NA","0","","0","NA","0",""
"11042","2","0","NA","0","","0","NA","0",""
"11043","2","0","NA","0","","0","NA","0",""
"11044","2","0","NA","0","","0","NA","0",""
"11045","2","0","NA","0","","0","NA","0",""
"11046","2","0","NA","0","","0","NA","0",""
"12001","2","0","NA","0","","0","NA","0",""
"12002","2","0","NA","0","","0","NA","0",""
"12003","2","0","NA","0","","0","NA","0",""
"12004","2","0","NA","0","","0","NA","0",""
"12005","2","0","NA","0","","0","NA","0",""
"12006","2","0","NA","0","","0","NA","0",""
"12007","2","0","NA","0","","0","NA","0",""
"12008","2","0","NA","0","","0","NA","0",""
"12009","2","0","NA","0","","0","NA","0",""
"12010","2","0","NA","0","","0","NA","0",""
"12011","2","0","NA","0","","0","NA","0",""
"12012","2","0","NA","0","","0","NA","0",""
"12013","2","0","NA","0","","0","NA","0",""
"12014","2","0","NA","0","","0","NA","0",""
"12015","2","0","NA","0","","0","NA","0",""
"12016","2","0","NA","0","","0","NA","0",""
"12017","2","0","NA","0","","0","NA","0",""
"12018","2","0","NA","0","","0","NA","0",""
"12019","0","0","NA","0","","0","NA","0",""
"12020","2","0","NA","0","","0","NA","0",""
"12021","2","0","NA","0","","0","NA","0",""
"12022","2","0","NA","0","","0","NA","0",""
"12023","2","0","NA","0","","0","NA","0",""
"12024","2","0","NA","0","","0","NA","0",""
"12025","2","0","NA","0","","0","NA","0",""
"12026","2","0","NA","0","","0","NA","0",""
"12027","2","0","NA","0","","0","NA","0",""
"12028","2","0","NA","0","","0","NA","0",""
"12029","2","0","NA","0","","0","NA","0",""
"12030","2","0","NA","0","","0","NA","0",""
"12031","2","0","NA","0","","0","NA","0",""
"12032","2","0","NA","0","","0","NA","0",""
"12033","2","0","NA","0","","0","NA","0",""
"12034","2","0","NA","0","","0","NA","0",""
"12035","2","0","NA","0","","0","NA","0",""
"12036","2","0","NA","0","","0","NA","0",""
"12037","2","0","NA","0","","0","NA","0",""
"12038","2","0","NA","0","","0","NA","0",""
"12039","2","0","NA","0","","0","NA","0",""
"12040","2","0","NA","0","","0","NA","0",""
"12041","2","0","NA","0","","0","NA","0",""
"12042","2","0","NA","0","","0","NA","0",""
"12043","0","0","NA","0","","0","NA","0",""
"12044","2","0","NA","0","","0","NA","0",""
"12045","2","0","NA","0","","0","NA","0",""
"12046","2","0","NA","0","","0","NA","0",""
"12047","2","0","NA","0","","0","NA","0",""
"12048","2","0","NA","0","","0","NA","0",""
"12049","2","0","NA","0","","0","NA","0",""
"12050","2","0","NA","0","","0","NA","0",""
"12051","2","0","NA","0","","0","NA","0",""
"12052","2","0","NA","0","","0","NA","0",""
"12053","2","0","NA","0","","0","NA","0",""
"12054","2","0","NA","0","","0","NA","0",""
"12055","2","0","NA","0","","0","NA","0",""
"12056","2","0","NA","0","","0","NA","0",""
"12057","2","0","NA","0","","0","NA","0",""
"12058","2","0","NA","0","","0","NA","0",""
"12059","2","0","NA","0","","0","NA","0",""
"12060","2","0","NA","0","","0","NA","0",""
"12061","2","0","NA","0","","0","NA","0",""
"12062","2","0","NA","0","","0","NA","0",""
"12063","2","0","NA","0","","0","NA","0",""
"12064","2","0","NA","0","","0","NA","0",""
"12065","2","0","NA","0","","0","NA","0",""
"12066","2","0","NA","0","","0","NA","0",""
"12067","2","0","NA","0","","0","NA","0",""
"12068","2","0","NA","0","","0","NA","0",""
