COLUMNA,DESCRIPCIÓN,ORIGEN,TIPO_DATO,LONGITUD,CÓDIGO_VALIDO
quim_pot,"Indica el valor monetario de los bienes y servicios consumidos en la prestación del servicio de agua potable y saneamiento durante el año 2020 <concepto 5> (agentes físico-químicos, reactivos e insumos similares utilizados 
en plantas de potabilización)",SECC IV. 29,Carácter,20,"0-999999999999999, NA, NSS, ND, NULL"
el_trata,Indica el valor monetario de los bienes y servicios consumidos en la prestación del servicio de agua potable y saneamiento durante el año 2020 <concepto 6> (consumo de energía eléctrica en sitios o plantas de tratamiento de aguas residuales municipales),SECC IV. 29,Carácter,20,"0-999999999999999, NA, NSS, ND, NULL"
quim_tra,"Indica el valor monetario de los bienes y servicios consumidos en la prestación del servicio de agua potable y saneamiento durante el año 2020 <concepto 7> (agentes físico-químicos, reactivos e insumos similares utilizados en sitios o plantas de tratamiento de aguas residuales municipales)",SECC IV. 29,Carácter,20,"0-999999999999999, NA, NSS, ND, NULL"
remu_agu,Indica el valor monetario de los bienes y servicios consumidos en la prestación del servicio de agua potable y saneamiento durante el año 2020 <concepto 8> (remuneraciones pagadas por el servicio de agua de la red pública),SECC IV. 29,Carácter,20,"0-999999999999999, NA, NSS, ND, NULL"
remu_dre,Indica el valor monetario de los bienes y servicios consumidos en la prestación del servicio de agua potable y saneamiento durante el año 2020 <concepto 9> (remuneraciones pagadas por el servicio de drenaje y alcantarillado),SECC IV. 29,Carácter,20,"0-999999999999999, NA, NSS, ND, NULL"
remu_tra,Indica el valor monetario de los bienes y servicios consumidos en la prestación del servicio de agua potable y saneamiento durante el año 2020 <concepto 10> (remuneraciones pagadas por el servicio de tratamiento de aguas residuales municipales),SECC IV. 29,Carácter,20,"0-999999999999999, NA, NSS, ND, NULL"
der_expl,"Indica el valor monetario de los bienes y servicios consumidos en la prestación del servicio de agua potable y saneamiento durante el año 2020 <concepto 11> (derechos de explotación, uso o aprovechamiento de agua)",SECC IV. 29,Carácter,20,"0-999999999999999, NA, NSS, ND, NULL"
der_cuer,Indica el valor monetario de los bienes y servicios consumidos en la prestación del servicio de agua potable y saneamiento durante el año 2020 <concepto 12> (derechos de uso de cuerpos receptores de las descargas de aguas residuales),SECC IV. 29,Carácter,20,"0-999999999999999, NA, NSS, ND, NULL"
reha_man,Indica el valor monetario de los bienes y servicios consumidos en la prestación del servicio de agua potable y saneamiento durante el año 2020 <concepto 13> (rehabilitación y mantenimiento de equipos),SECC IV. 29,Carácter,20,"0-999999999999999, NA, NSS, ND, NULL"
dep_acti,Indica el valor monetario de los bienes y servicios consumidos en la prestación del servicio de agua potable y saneamiento durante el año 2020 <concepto 14> (depreciación de activos),SECC IV. 29,Carácter,20,"0-999999999999999, NA, NSS, ND, NULL"
otr_gast,Indica el valor monetario de los bienes y servicios consumidos en la prestación del servicio de agua potable y saneamiento durante el año 2020 <concepto 15> (otros  gastos),SECC IV. 29,Carácter,20,"0-999999999999999, NA, NSS, ND, NULL"
total,Indica el valor monetario de los bienes y servicios consumidos en la prestación del servicio de agua potable y saneamiento durante el año 2020 <concepto 16> (total de gastos),SECC IV. 29,Carácter,20,"0-999999999999999, NA, NSS, ND, NULL"
ing_agua,Indica el ingreso por el suministro de agua potable y saneamiento durante el año 2020  (ingresos por suministro de agua de la red pública),SECC IV. 30,Carácter,20,"0-999999999999999, NA, NSS, ND, NULL"
agua_tra,Indica el ingreso por el suministro de agua potable y saneamiento durante el año 2020 (venta de agua tratada),SECC IV. 30,Carácter,20,"0-999999999999999, NA, NSS, ND, NULL"
saneamie,Indica el ingreso por el suministro de agua potable y saneamiento durante el año 2020 (saneamiento),SECC IV. 30,Carácter,20,"0-999999999999999, NA, NSS, ND, NULL"
conexion,Indica el ingreso por el suministro de agua potable y saneamiento durante el año 2020 (derechos de conexión),SECC IV. 30,Carácter,20,"0-999999999999999, NA, NSS, ND, NULL"
der_alca,Indica el ingreso por el suministro de agua potable y saneamiento durante el año 2020 (derechos de alcantarillado),SECC IV. 30,Carácter,20,"0-999999999999999, NA, NSS, ND, NULL"
vnt_lodo,Indica el ingreso por el suministro de agua potable y saneamiento durante el año 2020 (venta de lodos),SECC IV. 30,Carácter,20,"0-999999999999999, NA, NSS, ND, NULL"
agua_pip,Indica el ingreso por el suministro de agua potable y saneamiento durante el año 2020 (distribución de agua por medio de pipas),SECC IV. 30,Carácter,20,"0-999999999999999, NA, NSS, ND, NULL"
otro_ing,Indica el ingreso por el suministro de agua potable y saneamiento durante el año 2020 (otros ingresos por suministro de bienes y servicios),SECC IV. 30,Carácter,20,"0-999999999999999, NA, NSS, ND, NULL"
sub_fede,Indica el ingreso por el suministro de agua potable y saneamiento durante el año 2020 (subsidios federales),SECC IV. 30,Carácter,20,"0-999999999999999, NA, NSS, ND, NULL"
sub_esta,Indica el ingreso por el suministro de agua potable y saneamiento durante el año 2020 (subsidios estatales),SECC IV. 30,Carácter,20,"0-999999999999999, NA, NSS, ND, NULL"
sub_muni,Indica el ingreso por el suministro de agua potable y saneamiento durante el año 2020 (subsidios municipales),SECC IV. 30,Carácter,20,"0-999999999999999, NA, NSS, ND, NULL"
multas,Indica el ingreso por el suministro de agua potable y saneamiento durante el año 2020 (multas y recargos),SECC IV. 30,Carácter,20,"0-999999999999999, NA, NSS, ND, NULL"
ej_anter,Indica el ingreso por el suministro de agua potable y saneamiento durante el año 2020 (otros ingresos),SECC IV. 30,Carácter,20,"0-999999999999999, NA, NSS, ND, NULL"
total_in,Indica el ingreso por el suministro de agua potable y saneamiento durante el año 2020 (total de ingresos por suministro de bienes y servicios),SECC IV. 30,Carácter,20,"0-999999999999999, NA, NSS, ND, NULL"
