"folio","dif_inf","dif_url","portinte","edo_fina","pre_serv","pln_prog","in_efi","re_hid","di_tari","ben_subs","obr_proc","di_otro","d_otr_es","sif_opn","opn_impl","opn_bita","opn_moni","opn_apcu","opn_entr","opn_apen","opn_otrm","opin_esp","rep_quej","fuga_pro","atn_most","carc_liq","opn_otro","es_ot_as"
"7012","1","HTTPS://WWW.FACEBOOK.COM/SAPAM18","1","","1","","","","","1","","","","2","","","","","","","","","","","","","",""
"7013","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"7014","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"7015","0","","0","","","","","","","","","","","1","","1","","1","1","","","","1","1","1","","",""
"7016","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"7017","1","CINTALAPA.GOB.MX","1","","","1","","1","","","1","","","1","","","","","","1","","","1","1","1","1","",""
"7018","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"7019","2","","0","","","","","","","","","","","1","1","","1","","1","","","","1","1","1","1","",""
"7020","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"7021","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"7022","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"7023","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"7024","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"7025","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"7026","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"7027","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"7028","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"7029","0","","0","","","","","","","","","","","1","","","","","","1","","","1","1","","","",""
"7030","0","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"7031","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"7032","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"7033","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"7034","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"7035","2","","0","","","","","","","","","","","1","1","","","","","","","","","1","","","",""
"7036","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"7037","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"7038","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"7039","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"7040","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"7041","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"7042","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"7043","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"7044","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"7045","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"7046","0","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"7047","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"7048","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"7049","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"7050","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"7051","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"7052","2","","0","","","","","","","","","","","1","","","1","","","","","","1","","","","",""
"7053","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"7054","2","","0","","","","","","","","","","","1","","","1","","","","","","1","1","","","",""
"7055","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"7056","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"7057","1","HTTP://WWW.MOTOZINTLA.GOB.MX/SAPAM","2","1","","","1","","","1","","","","1","1","","1","","","","","","1","1","1","","",""
"7058","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"7059","1","","1","","","1","","","","","1","","","1","","1","1","","","","","","1","1","","1","",""
"7060","0","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"7061","0","","0","","","","","","","","","","","1","1","","1","","","","","","1","1","1","","",""
"7062","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"7063","2","","0","","","","","","","","","","","1","","","","","1","","","","1","1","","","",""
"7064","2","","0","","","","","","","","","","","1","","","","","","","1","MEDIANTE ASAMBLEA GENERAL SE ATENDIERON DIFERENTES QUEJAS","1","1","","","",""
"7065","1","SAPAM.PALENQUE.GOB.MX","1","","1","","","1","","","","","","2","","","","","","","","","","","","","",""
"7066","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"7067","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"7068","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"7069","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"7070","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"7071","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"7072","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"7073","2","","0","","","","","","","","","","","1","","","1","","","","","","1","","","","",""
"7074","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"7075","2","","0","","","","","","","","","","","1","","","","","1","","","","","1","","","",""
"7076","2","","0","","","","","","","","","","","1","","","","","1","","","","1","1","","","",""
"7077","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"7078","1","","1","1","","1","1","","","","","","","2","","","","","","","","","","","","","",""
"7079","1","HTTPS://WWW.FACEBOOK.COM/GARANTIADETRABAJO","2","","1","","","","","","1","","","1","","","","","","1","","","1","1","1","","",""
"7080","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"7081","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"7082","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"7083","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"7084","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"7085","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"7086","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"7087","2","","0","","","","","","","","","","","1","","","","","","1","","","1","","","","",""
"7088","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"7089","1","","1","1","1","","","1","1","","1","","","1","1","","1","1","","1","","","1","1","1","","",""
"7090","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"7091","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"7092","1","WWW. TECPATAN.GOB.MX","2","","1","","","","","","1","","","2","","","","","","","","","","","","","",""
"7093","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"7094","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"7096","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"7097","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"7098","0","","0","","","","","","","","","","","1","","","","1","","1","","","1","1","","1","",""
"7099","2","","0","","","","","","","","","","","1","","","","","1","","","","1","","","","",""
"7100","2","","0","","","","","","","","","","","1","","","1","","","","","","","1","","","",""
"7101","1","","1","1","1","","","","1","","1","","","1","1","1","1","","1","","1","REDES SOCIALES (FACEBOOK Y TWITTER)","1","1","1","1","",""
"7102","1",".PLATAFORMADETRANSPARENCIA.ORG.MX/WEB/GUEST/INICIO","2","1","1","","","","1","","","","","2","","","","","","","","","","","","","",""
"7103","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"7104","2","","0","","","","","","","","","","","1","1","","","","","1","","","1","1","","","",""
"7105","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"7106","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"7107","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"7108","1","SAPAMVILLAFLORES.GOB.MX","1","1","1","","","","","","","","","2","","","","","","","","","","","","","",""
"7109","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"7110","2","","0","","","","","","","","","","","1","1","","","","1","","","","1","","","","",""
"7111","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"7112","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"7113","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"7114","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"7115","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"7116","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"7117","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"7118","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"7119","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"7120","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"7121","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"7122","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"7123","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"7124","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"7125","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"8001","2","","0","","","","","","","","","","","1","1","","","","1","","","","1","1","1","","",""
"8002","0","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"8003","0","FACEBOOK.COM/JMASALLENDE","2","","","","","","","","","","","2","","","","","","","","","","","","","",""
"8004","2","","0","","","","","","","","","","","1","","1","1","","","1","","","1","1","","","",""
"8005","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"8006","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"8007","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"8008","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"8009","1","WWW.FACEBOOK.COM/@JRASSJ","1","","","1","1","","1","","1","","","2","","","","","","","","","","","","","",""
"8010","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"8011","1","JMASCAMARGO.COM","1","","","1","","","","","","","","1","","","1","","","","","","","","1","","",""
"8012","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"8013","1","HTTPS://WWW.FACEBOOK.COM/JMASCASASGRANDES/","1","","","","","","","","1","","","2","","","","","","","","","","","","","",""
"8014","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"8015","2","","0","","","","","","","","","","","1","1","","","","","","","","1","1","","","",""
"8016","1","FACEBOOK PERSONAL","1","1","1","","1","","1","1","1","","","1","","1","1","","","","","","1","1","1","1","",""
"8017","1","","2","1","1","1","1","1","1","1","1","","","2","","","","","","","","","","","","","",""
"8018","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"8019","1","JMASCHIH.GOB.MX","1","1","1","1","1","","1","","1","","","2","","","","","","","","","","","","","",""
"8020","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"8021","0","https://www.jmasdelicias.gob.mx","1","","","","","","","","","","","1","1","","1","","","","","","1","1","1","","",""
"8022","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"8023","2","","0","","","","","","","","","","","1","1","","","","","","","","1","1","","","",""
"8024","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"8025","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"8026","1","JCAS.GOB.MX/GRANMORELOS","2","1","1","1","1","1","1","1","1","","","2","","","","","","","","","","","","","",""
"8027","2","","0","","","","","","","","","","","1","1","","1","","","","","","1","1","1","","",""
"8028","0","FACEBOOK.COM/JMASGUADALUPE","1","","","","","","","","","","","2","","","","","","","","","","","","","",""
"8029","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"8030","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"8031","1","HTTPS://WWW.FACEBOOK.COM/JMAS.GUERRERO","1","","","","","","","","1","","","2","","","","","","","","","","","","","",""
"8032","1","JMASPARRAL.GOB.MX","1","1","","","1","","","","1","","","2","","","","","","","","","","","","","",""
"8033","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"8034","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"8035","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"8036","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"8037","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"8038","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"8039","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"8040","2","","0","","","","","","","","","","","1","1","","1","","","","","","1","1","","","",""
"8041","0","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"8042","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"8043","0","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"8044","2","","0","","","","","","","","","","","1","","","1","","","","","","1","","1","","",""
"8045","1","JMASMEOQUI.GOB.MX","1","1","1","1","1","1","1","1","1","","","1","","","","","","","1","REPORTE DE INCIDENCIAS DE USUARIO POR WHATSAPP","1","1","","","",""
"8046","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"8047","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"8048","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"8049","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"8050","1","","1","1","1","1","1","1","1","","1","","","1","1","1","1","","1","","","","1","1","1","","",""
"8051","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"8052","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"8053","1","INFORMACIONFINANCIERA@AUDITORIACHIHUAHUA.GOB.MX","2","1","","","","","","","","","","2","","","","","","","","","","","","","",""
"8054","2","","0","","","","","","","","","","","1","1","","","","","","","","1","1","","1","",""
"8055","2","","0","","","","","","","","","","","1","1","","","","","","","","1","","","","",""
"8056","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"8057","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"8058","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"8059","1","","1","","1","","","","","","1","","","1","","1","","","","","","","1","1","","","",""
"8060","1","JCAS.GOB.MX/SANTA-BARBARA/","2","1","1","1","1","1","1","","1","","","2","","","","","","","","","","","","","",""
"8061","1","WWW.SATEVO.GOB.MX","2","","1","","","","","","","","","1","","1","","","1","","1","REUNIÓN EN COMUNIDAD","1","1","1","","",""
"8062","1","","1","1","1","1","1","1","1","1","1","","","1","1","","","","","","","","1","1","1","1","",""
"8063","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"8064","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"8065","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"8066","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"8067","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"9002","1","HTTPS://WWW.SACMEX.CDMX.GOB.MX/ATENCION-USUARIOS/CAMP","2","","1","1","","1","1","","1","","","1","1","","1","1","","","","","","","1","","",""
"9003","1","","1","","","1","","","","1","1","","","1","1","1","","","","","","","1","1","","","",""
"9004","1","HTTP://CUAJIMALPA.CDMX.GOB.MX/?P=326","2","","1","1","","1","","","","","","1","","1","","","","","","","1","","","","",""
"9005","0","","2","","","","","","","","","","","1","1","","1","1","","","","","","","1","","",""
"9006","0","IZTACALCO.CDMX.GOB.MX","2","","","","","","","","","","","1","1","","1","1","","","","","","","1","","",""
"9007","1","HTTPS://WWW.SACMEX.CDMX.GOB.MX/ATENCION-USUARIOS/CAMP","2","","1","1","","1","1","","1","","","1","1","","1","1","","","","","","","1","","",""
"9008","1","HTTP://WWW.MCONTRERAS.CDMX.GOB.MX/TRANSPARENCIA/ART121/FR07/LEYENDA_MONITOREO_CDMX.PDF","2","","","","1","","","","","","","1","1","","1","1","","","","","","","1","","",""
"9009","1","HTTPS://WWW.SACMEX.CDMX.GOB.MX/ATENCION-USUARIOS/CAMP","2","","1","1","","1","1","","1","","","1","1","","1","1","","","","","","","1","","",""
"9010","1","HTTPS://WWW.SACMEX.CDMX.GOB.MX/ATENCION-USUARIOS/CAMP","2","","1","1","","1","1","","1","","","1","1","","1","1","","","","","","","1","","",""
"9011","0","TLAHUAC.CDMX.GOB.MX","2","","","","","","","","","","","2","","","","","","","","","","","","","",""
"9012","1","HTTPS://WWW.SACMEX.CDMX.GOB.MX/ATENCION-USUARIOS/CAMP","2","","","1","","1","1","","1","","","1","1","","1","1","","","","","","","1","","",""
"9013","1","HTTPS://WWW.SACMEX.CDMX.GOB.MX/ATENCION-USUARIOS/CAMP","2","","1","1","","1","1","","1","","","1","1","1","1","1","1","","","","1","1","1","1","",""
"9014","1","","2","","1","1","","1","1","","1","","","1","1","","1","1","","","","","1","1","1","","",""
"9015","1","HTTPS://WWW.SACMEX.CDMX.GOB.MX/ATENCION-USUARIOS/CAMP","2","","1","1","","1","1","","1","","","1","1","","1","1","","","","","1","","","","",""
"9016","1","HTTPS://WWW.SACMEX.CDMX.GOB.MX/ATENCION-USUARIOS/CAMP","2","","1","1","","1","1","","1","","","1","1","","1","1","","","","","","","1","","",""
